"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.133732307E2,6.414727884E1,2.828616803E1,1.514472012E2,1.354838252E0,1.257762146E2,3.000000000E0,3.000000000E0
2.143752859E2,6.414727472E1,2.828619056E1,1.514464902E2,1.364626646E0,1.254067383E2,3.000000000E0,3.000000000E0
2.153781682E2,6.414727057E1,2.828621478E1,1.514157874E2,1.315025330E0,1.236532288E2,3.000000000E0,3.000000000E0
2.163726661E2,6.414726535E1,2.828624027E1,1.514411006E2,1.343281031E0,1.113758087E2,3.000000000E0,3.000000000E0
2.173743172E2,6.414725871E1,2.828626596E1,1.513290023E2,1.148915529E0,1.142466736E2,3.000000000E0,3.000000000E0
2.183731896E2,6.414725527E1,2.828629129E1,1.515083397E2,1.119350433E0,1.133475189E2,3.000000000E0,3.000000000E0
2.193742916E2,6.414725048E1,2.828631464E1,1.515435121E2,1.329145312E0,1.189122925E2,3.000000000E0,3.000000000E0
2.203748416E2,6.414724526E1,2.828633724E1,1.515915877E2,1.357121110E0,1.255146179E2,3.000000000E0,3.000000000E0
2.213723062E2,6.414724068E1,2.828635899E1,1.515164280E2,1.352338672E0,1.210910645E2,3.000000000E0,3.000000000E0
2.223722807E2,6.414723610E1,2.828638062E1,1.514283679E2,1.325939536E0,1.147597046E2,3.000000000E0,3.000000000E0
2.233745578E2,6.414723092E1,2.828640351E1,1.514783199E2,1.273747206E0,1.072553406E2,3.000000000E0,3.000000000E0
2.243765234E2,6.414722553E1,2.828642642E1,1.514768082E2,1.241800189E0,1.087186737E2,3.000000000E0,3.000000000E0
2.253823213E2,6.414722117E1,2.828644918E1,1.515315252E2,1.196166873E0,1.062467194E2,3.000000000E0,3.000000000E0
2.263775854E2,6.414721605E1,2.828646489E1,1.511727565E2,1.106558442E0,1.062516327E2,3.000000000E0,3.000000000E0
2.273771692E2,6.414721248E1,2.828647902E1,1.509530678E2,9.339764714E-1,1.052392883E2,3.000000000E0,3.000000000E0
